name,description,price,stock,category,imageUrl
Essence Mascara Lash Princess,Volumizing and lengthening mascara for everyday makeup.,699,80,Beauty,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/1.webp
Red Lipstick,"Rich red lipstick with a smooth, long-lasting finish.",499,100,Beauty,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/1.webp
Eyeshadow Palette,Versatile eyeshadow palette for everyday and evening looks.,899,65,Beauty,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/1.webp
Calvin Klein CK One,Fresh unisex fragrance with a clean modern character.,3999,35,Fragrances,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/1.webp
Chanel Coco Noir,Elegant evening fragrance with a sophisticated character.,8999,20,Fragrances,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/1.webp
Dior J'adore,Elegant floral fragrance for special occasions.,7499,25,Fragrances,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/1.webp
Annibale Colombo Bed,Premium modern bed designed for a stylish bedroom.,45999,12,Furniture,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/1.webp
Annibale Colombo Sofa,Comfortable contemporary sofa with premium upholstery.,52999,10,Furniture,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/1.webp
African Cherry Bedside Table,Compact wooden bedside table with storage.,8999,24,Furniture,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/1.webp
Apple,Fresh crisp apples for snacks and recipes.,199,100,Groceries,https://cdn.dummyjson.com/product-images/groceries/apple/1.webp
Beef Steak,Quality beef steak suitable for grilling and cooking.,1299,40,Groceries,https://cdn.dummyjson.com/product-images/groceries/beef-steak/1.webp
Cat Food,Balanced pet food for adult cats.,599,70,Groceries,https://cdn.dummyjson.com/product-images/groceries/cat-food/1.webp
Chicken Meat,Fresh chicken meat for everyday cooking.,449,60,Groceries,https://cdn.dummyjson.com/product-images/groceries/chicken-meat/1.webp
Cooking Oil,Refined cooking oil for everyday kitchen use.,179,100,Groceries,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/1.webp
Cucumber,Fresh crunchy cucumbers.,79,120,Groceries,https://cdn.dummyjson.com/product-images/groceries/cucumber/1.webp
Dog Food,Nutritious pet food for dogs.,699,60,Groceries,https://cdn.dummyjson.com/product-images/groceries/dog-food/1.webp
Eggs,Fresh farm eggs for daily meals.,129,90,Groceries,https://cdn.dummyjson.com/product-images/groceries/eggs/1.webp
Fish Meat,Fresh fish meat for healthy meals.,599,45,Groceries,https://cdn.dummyjson.com/product-images/groceries/fish-meat/1.webp
Green Bell Pepper,Fresh green bell peppers.,99,100,Groceries,https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/1.webp
Green Chili,Fresh green chilies with natural flavor.,59,120,Groceries,https://cdn.dummyjson.com/product-images/groceries/green-chili/1.webp
Honey Jar,Natural honey packed for everyday use.,399,50,Groceries,https://cdn.dummyjson.com/product-images/groceries/honey-jar/1.webp
Ice Cream,Creamy ice cream dessert for a sweet treat.,249,70,Groceries,https://cdn.dummyjson.com/product-images/groceries/ice-cream/1.webp
Juice,Refreshing fruit juice for everyday enjoyment.,149,80,Groceries,https://cdn.dummyjson.com/product-images/groceries/juice/1.webp
Kiwi,Fresh kiwifruit with a sweet-tart taste.,199,70,Groceries,https://cdn.dummyjson.com/product-images/groceries/kiwi/1.webp
Lemon,Fresh lemons for cooking and beverages.,99,110,Groceries,https://cdn.dummyjson.com/product-images/groceries/lemon/1.webp
Mango,Sweet ripe mangoes for snacks and desserts.,249,80,Groceries,https://cdn.dummyjson.com/product-images/groceries/mango/1.webp
Milk,Fresh dairy milk for everyday use.,69,100,Groceries,https://cdn.dummyjson.com/product-images/groceries/milk/1.webp
Olive Oil,Premium olive oil for cooking and dressings.,899,45,Groceries,https://cdn.dummyjson.com/product-images/groceries/olive-oil/1.webp
Onion,Fresh onions for everyday cooking.,69,120,Groceries,https://cdn.dummyjson.com/product-images/groceries/onion/1.webp
Orange,Fresh juicy oranges rich in natural flavor.,149,100,Groceries,https://cdn.dummyjson.com/product-images/groceries/orange/1.webp
Shrimp,Fresh shrimp suitable for a variety of dishes.,799,35,Groceries,https://cdn.dummyjson.com/product-images/groceries/shrimp/1.webp
Spinach,Fresh leafy spinach for healthy meals.,59,100,Groceries,https://cdn.dummyjson.com/product-images/groceries/spinach/1.webp
Strawberry,Fresh sweet strawberries.,299,60,Groceries,https://cdn.dummyjson.com/product-images/groceries/strawberry/1.webp
Tomato,Fresh ripe tomatoes for salads and cooking.,79,110,Groceries,https://cdn.dummyjson.com/product-images/groceries/tomato/1.webp
Vegetables Mix,Convenient mixed vegetables for quick meals.,199,80,Groceries,https://cdn.dummyjson.com/product-images/groceries/vegetables-mix/1.webp
Smartphone Pro 128GB,Modern smartphone with a bright display and fast performance.,24999,35,Electronics,https://cdn.dummyjson.com/product-images/smartphones/iphone-13-pro/1.webp
Premium Android Phone,Powerful Android smartphone for everyday use.,21999,40,Electronics,https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s21-fe-5g/1.webp
Tablet 10 Inch,Large display tablet for entertainment and productivity.,15999,30,Electronics,https://cdn.dummyjson.com/product-images/tablets/ipad-mini-2021/1.webp
Wireless Earbuds,Compact wireless earbuds with a charging case.,2499,75,Electronics,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods-max-silver/1.webp
Laptop Backpack,Durable backpack designed for laptops and accessories.,1499,65,Accessories,https://cdn.dummyjson.com/product-images/mens-bags/blue-women's-handbag/1.webp
Classic Sunglasses,Stylish sunglasses with a lightweight frame.,1299,50,Accessories,https://cdn.dummyjson.com/product-images/sunglasses/black-sunglasses/1.webp
Men's Casual Shirt,Comfortable casual shirt for everyday wear.,1199,70,Clothing,https://cdn.dummyjson.com/product-images/mens-shirts/blue-shirt/1.webp
Men's Running Shoes,Lightweight running shoes for daily workouts.,2499,45,Footwear,https://cdn.dummyjson.com/product-images/mens-shoes/blue-sneakers/1.webp
Women's Casual Dress,Comfortable modern dress for casual occasions.,1799,55,Clothing,https://cdn.dummyjson.com/product-images/womens-dresses/black-sweatshirt-dress/1.webp
Women's Sneakers,Comfortable sneakers for everyday activities.,2299,50,Footwear,https://cdn.dummyjson.com/product-images/womens-shoes/ankle-boots/1.webp
Classic Wrist Watch,Elegant analog wrist watch with a premium look.,2999,30,Watches,https://cdn.dummyjson.com/product-images/mens-watches/rolex-cellini-moonphase/1.webp
Women's Wrist Watch,Elegant watch designed for everyday style.,2499,35,Watches,https://cdn.dummyjson.com/product-images/womens-watches/iwc-ingenieur-automatic/1.webp
Gold Jewellery Set,Elegant jewellery set for special occasions.,3999,20,Jewellery,https://cdn.dummyjson.com/product-images/womens-jewellery/green-and-black-aurora-necklace/1.webp
Travel Handbag,Stylish handbag with practical storage space.,1999,40,Bags,https://cdn.dummyjson.com/product-images/womens-bags/blue-women's-handbag/1.webp
Home Wall Decor,Modern decorative piece for living spaces.,899,55,Home Decor,https://cdn.dummyjson.com/product-images/home-decoration/decoration-swan/1.webp
Modern Lamp,Contemporary lamp for bedrooms and living rooms.,1599,40,Home Decor,https://cdn.dummyjson.com/product-images/home-decoration/black-whisk/1.webp
Kitchen Knife Set,Practical knife set for everyday kitchen tasks.,1299,50,Kitchen,https://cdn.dummyjson.com/product-images/kitchen-accessories/box-of-spaghetti/1.webp
Wooden Kitchen Board,Durable board for chopping and food preparation.,699,65,Kitchen,https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/1.webp
Sports Training Ball,Durable training ball for sports and fitness.,999,50,Sports,https://cdn.dummyjson.com/product-images/sports-accessories/basketball/1.webp
Fitness Dumbbells,Compact dumbbells for home workouts.,1499,40,Sports,https://cdn.dummyjson.com/product-images/sports-accessories/fitness-dumbbells/1.webp
